code,country,gdp_per_capita,median_age,life_expectancy,hospital_beds_per_thousand,diabetes_prevalence,population_density,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,excess_mortality_cumulative_per_million
LKA,Sri Lanka,13752.8369140625,32.56100082397461,77.29959869384766,3.930000066757202,10.199999809265137,369.1394348144531,75.0768,64.60631,
LSO,Lesotho,2640.285400390625,21.263999938964844,56.8119010925293,,6.199999809265137,75.30013275146484,44.357975,41.03421,
LTU,Lithuania,47165.3671875,42.632999420166016,74.69599914550781,5.710000038146973,7.5,44.991580963134766,69.51908,66.77875,9580.694
LUX,Luxembourg,128475.28125,38.67599868774414,82.20069885253906,3.950000047683716,5.800000190734863,253.7677764892578,73.770996,5.796285,-738.27344
LVA,Latvia,37611.671875,42.94599914550781,74.87059783935547,4.949999809265137,7.099999904632568,30.227527618408203,71.565216,69.4277,5738.6733
MAC,Macao,111693.5,37.83100128173828,82.10250091552734,,8.100000381469727,21344.2421875,96.499374,91.18433,1807.8406
MAF,Saint Martin (French part),,38.400001525878906,80.2354965209961,,,577.97998046875,,,
MAR,Morocco,9162.7470703125,28.875,75.1613998413086,0.7300000190734863,11.899999618530272,83.64119720458984,67.02596,63.012527,
MCO,Monaco,,54.97499847412109,85.74639892578125,21.989999771118164,6.900000095367432,18690.01953125,74.13351,65.8973,5897.3447
MDA,Moldova,16376.611328125,37.47800064086914,71.54650115966797,5.539999961853027,6.300000190734863,92.2046127319336,36.49767,35.492302,5307.2017
MDG,Madagascar,1657.0496826171875,18.718000411987305,63.06769943237305,0.3199999928474426,4.599999904632568,52.315677642822266,8.904759,8.636944,
MDV,Maldives,23034.41015625,30.339000701904297,80.7594985961914,4.559999942779541,9.5,1747.0533447265625,76.18695,73.488884,1109.1743
MEX,Mexico,22039.62890625,28.527999877929688,73.97309875488281,1.0099999904632568,16.399999618530273,66.16070556640625,75.55955,63.640446,5050.4736
MHL,Marshall Islands,7209.2666015625,20.96500015258789,66.72450256347656,,25.700000762939453,222.74444580078125,,,
MKD,North Macedonia,24203.28515625,39.90999984741211,76.64550018310547,4.739999771118164,7.400000095367432,72.96733093261719,46.438065,45.547474,8062.4946
MLI,Mali,2916.185302734375,15.348999977111816,60.034698486328125,0.25,4.800000190734863,18.909055709838867,18.8721,15.748474,
MLT,Malta,62700.49609375,39.74599838256836,82.24960327148438,4.090000152587891,10.0,1650.606201171875,90.677475,89.27875,1421.1119
MMR,Myanmar,5276.29443359375,29.250999450683597,66.50579833984375,1.0700000524520874,6.699999809265137,82.36442565917969,77.29614,66.85257,
MNE,Montenegro,28105.708984375,39.08000183105469,75.92140197753906,3.819999933242798,10.699999809265137,45.69881057739258,47.63418,46.346615,4545.353
MNG,Mongolia,16842.650390625,26.617000579833984,71.50489807128906,8.579999923706055,10.300000190734863,2.173996686935425,67.45445,64.53846,-4.931671
MNP,Northern Mariana Islands,,35.17900085449219,78.53119659423828,,,100.21956634521484,,,
MOZ,Mozambique,1500.3143310546875,16.249000549316406,63.01150131225586,0.7400000095367432,3.0,41.527305603027344,70.03147,65.31598,
MRT,Mauritania,6482.68994140625,16.992000579833984,68.28070068359375,,5.199999809265137,4.730420112609863,43.148228,31.597816,
MSR,Montserrat,,41.3849983215332,76.0376968383789,,,44.7599983215332,47.006256,43.610367,
MTQ,Martinique,,48.23899841308594,80.8364028930664,,,329.6811218261719,,,3552.5
MUS,Mauritius,28011.158203125,36.51300048828125,73.54450225830078,3.799999952316284,20.100000381469727,639.0255126953125,88.06074,85.26863,962.8138
MWI,Malawi,1634.24658203125,17.334999084472656,66.03700256347656,1.2999999523162842,5.699999809265137,218.1664276123047,26.416496,20.847246,
MYS,Malaysia,34116.23046875,29.572999954223636,75.44419860839844,1.9600000381469729,21.100000381469727,105.60186767578124,81.101494,79.40842,1352.5674
MYT,Mayotte,,16.697999954223633,75.1272964477539,,,816.2540283203125,,,1602.3237
NAM,Namibia,10281.3359375,20.825000762939453,64.19029998779297,,5.300000190734863,3.5099029541015625,21.793749,19.067173,1225.8562
NCL,New Caledonia,,33.5890007019043,77.69830322265625,,22.0,15.707330703735352,66.99927,64.36666,1809.544
NER,Niger,1803.4368896484373,15.10200023651123,60.39810180664063,0.2800000011920929,4.099999904632568,19.982614517211918,24.685875,21.661686,
NGA,Nigeria,7994.2158203125,17.566999435424805,54.07899856567383,,3.0,245.01345825195312,42.047527,36.431763,
NIC,Nicaragua,7661.60205078125,24.91200065612793,74.46260070800781,0.9700000286102296,10.399999618530272,55.93038177490234,95.15444,91.026825,2541.8403
NIU,Niue,,36.72100067138672,69.81819915771484,,,7.092307567596436,88.828636,88.66595,
NLD,Netherlands,70498.8828125,41.4630012512207,81.91210174560547,2.4200000762939453,5.0,531.7618408203125,70.2736,65.73038,2956.0293
NOR,Norway,91105.25,39.43600082397461,82.63089752197266,3.299999952316284,4.800000190734863,14.98008632659912,79.66204,74.42668,1659.9008
NPL,Nepal,5046.81591796875,24.356000900268555,70.08689880371094,0.5400000214576721,7.699999809265137,207.2928771972656,93.83405,82.35129,
NRU,Nauru,12468.76171875,20.572999954223636,61.93040084838867,,21.799999237060547,591.0999755859375,110.86111,95.97361,
